item,MSA
Estoy familiarizado/a con los conceptos básicos de la inteligencia artificial.,0.699
Entiendo cómo funciona la inteligencia artificial en aplicaciones educativas.,0.709
He recibido formación formal sobre inteligencia artificial durante mi carrera.,0.75
Conozco ejemplos prácticos del uso de la IA en la enseñanza de las matemáticas.,0.671
Puedo explicar a otros cómo la IA puede aplicarse en el aula.,0.629
Estoy al tanto de las últimas tendencias en IA relacionadas con la educación.,0.774
Sé diferenciar entre diferentes tipos de tecnologías de IA.,0.52
Comprendo las limitaciones actuales de la IA en el ámbito educativo.,0.554
Creo que la IA es una herramienta valiosa para mejorar la educación.,0.751
La IA puede facilitar el aprendizaje personalizado para los estudiantes.,0.703
La implementación de la IA en el aula es esencial para la educación moderna.,0.752
La IA aumentará la eficiencia de los docentes en sus labores diarias.,0.68
Me preocupa que la IA pueda deshumanizar el proceso de enseñanza.,0.374
Considero que la IA puede motivar más a los estudiantes en su aprendizaje.,0.648
La IA podría reducir la carga administrativa de los docentes.,0.559
Estoy entusiasmado/a con las posibilidades que ofrece la IA en la educación.,0.727
Me siento preparado/a para integrar la IA en mis prácticas docentes.,0.771
Tengo las habilidades necesarias para utilizar herramientas de IA en la enseñanza.,0.813
Estoy dispuesto/a a invertir tiempo en aprender sobre la IA aplicada a la educación.,0.716
Confío en mi capacidad para resolver problemas técnicos relacionados con la IA.,0.746
Mi formación académica me ha proporcionado conocimientos suficientes sobre la IA.,0.598
Me siento cómodo/a experimentando con nuevas tecnologías de IA en el aula.,0.713
Estoy abierto/a a recibir capacitación adicional sobre IA educativa.,0.668
Puedo identificar recursos y materiales para aprender más sobre la IA.,0.747
Actualmente utilizo aplicaciones o herramientas de IA en mis estudios.,0.534
Veo un gran potencial en la IA para mejorar el aprendizaje de las matemáticas.,0.742
He participado en proyectos o actividades que involucren la IA.,0.717
Considero que la IA es esencial para abordar los desafíos educativos actuales.,0.683
Estoy interesado/a en investigar sobre la IA en el ámbito educativo.,0.654
Creo que la IA puede ayudar a identificar las necesidades individuales de los estudiantes.,0.883
La IA puede contribuir a crear entornos de aprendizaje más interactivos.,0.746
Me preocupa la privacidad y seguridad de los datos al usar IA en educación.,0.497
La IA puede aumentar las brechas educativas entre diferentes grupos sociales.,0.483
Es fundamental abordar las implicaciones éticas al implementar la IA en el aula.,0.793
La dependencia excesiva de la IA podría afectar negativamente las habilidades docentes.,0.608
Se requieren políticas claras sobre el uso de la IA en el ámbito educativo.,0.707
La IA debe ser utilizada respetando los valores y la cultura de los estudiantes.,0.688
Es importante garantizar la transparencia en cómo la IA toma decisiones educativas.,0.737
Me preocupa que la IA pueda generar sesgos o discriminación inadvertida.,0.386
La falta de recursos tecnológicos limita el uso de la IA en la educación.,0.696
Existe apoyo institucional para integrar la IA en nuestra formación docente.,0.789
Las dificultades técnicas hacen complicado el uso de la IA en el aula.,0.468
Hay resistencia al cambio entre los docentes respecto a la adopción de la IA.,0.389
La capacitación adecuada facilita la integración de la IA en la enseñanza.,0.784
El acceso a Internet y dispositivos es suficiente para utilizar herramientas de IA.,0.503
La carga académica actual impide dedicar tiempo a aprender sobre IA.,0.5
Las políticas educativas actuales favorecen la incorporación de la IA.,0.549
He experimentado el uso de la IA en clases impartidas por mis profesores.,0.818
Los cursos de mi programa incluyen contenidos relacionados con la IA.,0.632
Se fomenta activamente el uso de la IA en nuestra formación docente.,0.61
La IA ha mejorado mi aprendizaje y comprensión de las matemáticas.,0.575
Mis profesores están capacitados en el uso de la IA para la enseñanza.,0.752
He tenido oportunidades de desarrollar proyectos que involucren la IA.,0.791
La IA se utiliza para ofrecer retroalimentación personalizada en mi aprendizaje.,0.712
Considero que debería incrementarse el uso de la IA en nuestro plan de estudios.,0.689
