,F1,F2,F3,F4
Estoy familiarizado/a con los conceptos básicos de la inteligencia artificial.,0.043,-0.664,0.16,-0.165
Entiendo cómo funciona la inteligencia artificial en aplicaciones educativas.,0.115,-0.862,0.022,-0.224
He recibido formación formal sobre inteligencia artificial durante mi carrera.,-0.061,-0.48,-0.143,0.365
Conozco ejemplos prácticos del uso de la IA en la enseñanza de las matemáticas.,-0.139,-0.561,-0.059,0.171
Puedo explicar a otros cómo la IA puede aplicarse en el aula.,-0.106,-0.808,-0.044,-0.062
Estoy al tanto de las últimas tendencias en IA relacionadas con la educación.,-0.021,-0.794,-0.038,-0.04
Sé diferenciar entre diferentes tipos de tecnologías de IA.,-0.04,-0.528,-0.028,0.102
Comprendo las limitaciones actuales de la IA en el ámbito educativo.,-0.195,-0.827,-0.033,-0.049
Creo que la IA es una herramienta valiosa para mejorar la educación.,0.69,-0.086,-0.011,-0.076
La IA puede facilitar el aprendizaje personalizado para los estudiantes.,0.769,-0.069,-0.089,-0.11
La implementación de la IA en el aula es esencial para la educación moderna.,0.566,0.059,0.213,0.079
La IA aumentará la eficiencia de los docentes en sus labores diarias.,0.726,0.15,0.081,0.181
Me preocupa que la IA pueda deshumanizar el proceso de enseñanza.,-0.638,-0.293,0.422,-0.057
Considero que la IA puede motivar más a los estudiantes en su aprendizaje.,0.565,0.006,0.056,0.069
La IA podría reducir la carga administrativa de los docentes.,0.377,-0.224,0.121,0.033
Estoy entusiasmado/a con las posibilidades que ofrece la IA en la educación.,0.692,-0.069,0.186,-0.087
Me siento preparado/a para integrar la IA en mis prácticas docentes.,0.188,-0.832,-0.073,-0.204
Tengo las habilidades necesarias para utilizar herramientas de IA en la enseñanza.,0.114,-0.901,-0.039,-0.14
Estoy dispuesto/a a invertir tiempo en aprender sobre la IA aplicada a la educación.,0.342,0.043,0.549,-0.084
Confío en mi capacidad para resolver problemas técnicos relacionados con la IA.,0.269,-0.289,0.112,0.101
Mi formación académica me ha proporcionado conocimientos suficientes sobre la IA.,0.133,-0.372,-0.072,0.369
Me siento cómodo/a experimentando con nuevas tecnologías de IA en el aula.,0.426,-0.268,0.145,-0.001
Estoy abierto/a a recibir capacitación adicional sobre IA educativa.,0.48,0.132,0.534,-0.129
Puedo identificar recursos y materiales para aprender más sobre la IA.,0.338,-0.369,0.044,0.124
Actualmente utilizo aplicaciones o herramientas de IA en mis estudios.,0.114,-0.338,0.187,0.007
Veo un gran potencial en la IA para mejorar el aprendizaje de las matemáticas.,0.675,-0.118,0.046,0.107
He participado en proyectos o actividades que involucren la IA.,-0.033,-0.487,-0.15,0.435
Considero que la IA es esencial para abordar los desafíos educativos actuales.,0.566,-0.164,0.144,-0.047
Estoy interesado/a en investigar sobre la IA en el ámbito educativo.,0.411,0.291,0.473,0.019
Creo que la IA puede ayudar a identificar las necesidades individuales de los estudiantes.,0.64,-0.092,0.016,0.047
La IA puede contribuir a crear entornos de aprendizaje más interactivos.,0.484,-0.15,0.241,-0.086
Me preocupa la privacidad y seguridad de los datos al usar IA en educación.,-0.182,0.06,0.55,0.167
La IA puede aumentar las brechas educativas entre diferentes grupos sociales.,-0.162,-0.02,0.506,-0.138
Es fundamental abordar las implicaciones éticas al implementar la IA en el aula.,0.184,0.066,0.686,0.002
La dependencia excesiva de la IA podría afectar negativamente las habilidades docentes.,-0.199,-0.039,0.686,0.02
Se requieren políticas claras sobre el uso de la IA en el ámbito educativo.,0.112,0.042,0.745,-0.0
La IA debe ser utilizada respetando los valores y la cultura de los estudiantes.,0.108,0.031,0.76,-0.078
Es importante garantizar la transparencia en cómo la IA toma decisiones educativas.,0.166,-0.112,0.656,-0.157
Me preocupa que la IA pueda generar sesgos o discriminación inadvertida.,-0.345,-0.132,0.563,0.166
La falta de recursos tecnológicos limita el uso de la IA en la educación.,0.115,0.185,0.604,0.05
Existe apoyo institucional para integrar la IA en nuestra formación docente.,0.076,-0.032,-0.032,0.637
Las dificultades técnicas hacen complicado el uso de la IA en el aula.,0.006,0.094,0.384,0.295
Hay resistencia al cambio entre los docentes respecto a la adopción de la IA.,0.04,-0.128,0.37,-0.077
La capacitación adecuada facilita la integración de la IA en la enseñanza.,0.34,0.022,0.61,-0.127
El acceso a Internet y dispositivos es suficiente para utilizar herramientas de IA.,0.168,-0.058,0.221,0.053
La carga académica actual impide dedicar tiempo a aprender sobre IA.,-0.283,0.053,0.429,0.273
Las políticas educativas actuales favorecen la incorporación de la IA.,0.222,0.02,0.178,0.24
He experimentado el uso de la IA en clases impartidas por mis profesores.,-0.069,-0.097,0.086,0.6
Los cursos de mi programa incluyen contenidos relacionados con la IA.,0.029,0.282,-0.031,0.936
Se fomenta activamente el uso de la IA en nuestra formación docente.,-0.0,0.22,-0.032,0.86
La IA ha mejorado mi aprendizaje y comprensión de las matemáticas.,0.476,-0.016,-0.045,0.276
Mis profesores están capacitados en el uso de la IA para la enseñanza.,0.327,0.076,0.032,0.355
He tenido oportunidades de desarrollar proyectos que involucren la IA.,0.008,-0.209,-0.219,0.652
La IA se utiliza para ofrecer retroalimentación personalizada en mi aprendizaje.,0.372,-0.038,0.001,0.276
Considero que debería incrementarse el uso de la IA en nuestro plan de estudios.,0.673,0.101,0.164,-0.1
