,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Estoy familiarizado/a con los conceptos básicos de la inteligencia artificial.,0.059,0.647,0.33,0.057,-0.171,0.107,0.168,-0.118
Entiendo cómo funciona la inteligencia artificial en aplicaciones educativas.,0.132,0.793,0.184,0.035,-0.102,-0.008,0.07,0.073
He recibido formación formal sobre inteligencia artificial durante mi carrera.,0.03,0.551,0.04,0.508,-0.065,-0.175,-0.097,-0.303
Conozco ejemplos prácticos del uso de la IA en la enseñanza de las matemáticas.,-0.071,0.594,0.082,0.327,-0.066,-0.014,-0.191,-0.093
Puedo explicar a otros cómo la IA puede aplicarse en el aula.,0.033,0.767,-0.005,0.126,0.019,0.12,-0.036,-0.072
Estoy al tanto de las últimas tendencias en IA relacionadas con la educación.,0.096,0.778,-0.048,0.097,0.155,0.011,0.011,0.321
Sé diferenciar entre diferentes tipos de tecnologías de IA.,0.059,0.574,0.016,0.215,0.099,0.031,-0.334,0.283
Comprendo las limitaciones actuales de la IA en el ámbito educativo.,-0.115,0.777,0.021,0.109,0.043,-0.05,-0.068,0.138
Creo que la IA es una herramienta valiosa para mejorar la educación.,0.588,0.177,0.217,0.07,-0.286,0.194,0.095,0.357
La IA puede facilitar el aprendizaje personalizado para los estudiantes.,0.59,0.15,0.21,0.045,-0.342,0.047,-0.01,0.44
La implementación de la IA en el aula es esencial para la educación moderna.,0.691,0.069,0.203,0.12,0.17,0.068,0.281,0.058
La IA aumentará la eficiencia de los docentes en sus labores diarias.,0.671,0.017,0.3,0.266,-0.141,-0.082,0.359,-0.041
Me preocupa que la IA pueda deshumanizar el proceso de enseñanza.,-0.406,0.246,0.092,-0.132,0.536,0.122,0.01,0.089
Considero que la IA puede motivar más a los estudiantes en su aprendizaje.,0.653,0.088,0.152,0.142,0.103,-0.152,-0.152,0.047
La IA podría reducir la carga administrativa de los docentes.,0.522,0.297,0.148,0.125,0.14,-0.054,0.192,-0.145
Estoy entusiasmado/a con las posibilidades que ofrece la IA en la educación.,0.772,0.155,0.263,0.033,0.09,-0.003,0.124,-0.001
Me siento preparado/a para integrar la IA en mis prácticas docentes.,0.337,0.767,-0.072,-0.01,0.156,-0.057,0.136,-0.029
Tengo las habilidades necesarias para utilizar herramientas de IA en la enseñanza.,0.226,0.825,0.04,0.087,0.084,-0.147,0.168,-0.068
Estoy dispuesto/a a invertir tiempo en aprender sobre la IA aplicada a la educación.,0.323,0.028,0.702,0.019,0.025,-0.171,0.129,-0.005
Confío en mi capacidad para resolver problemas técnicos relacionados con la IA.,0.325,0.351,0.255,0.203,0.146,-0.485,0.021,-0.111
Mi formación académica me ha proporcionado conocimientos suficientes sobre la IA.,0.216,0.483,0.078,0.467,0.082,-0.302,-0.091,0.01
Me siento cómodo/a experimentando con nuevas tecnologías de IA en el aula.,0.387,0.333,0.354,0.131,-0.048,-0.334,0.295,-0.027
Estoy abierto/a a recibir capacitación adicional sobre IA educativa.,0.427,-0.051,0.705,-0.014,-0.049,-0.095,0.179,-0.006
Puedo identificar recursos y materiales para aprender más sobre la IA.,0.223,0.45,0.365,0.277,-0.134,-0.477,0.046,0.185
Actualmente utilizo aplicaciones o herramientas de IA en mis estudios.,0.289,0.393,0.229,0.168,-0.01,0.382,-0.036,-0.233
Veo un gran potencial en la IA para mejorar el aprendizaje de las matemáticas.,0.679,0.25,0.282,0.266,-0.116,0.02,-0.054,0.085
He participado en proyectos o actividades que involucren la IA.,0.095,0.599,-0.057,0.533,-0.022,0.113,0.079,-0.005
Considero que la IA es esencial para abordar los desafíos educativos actuales.,0.711,0.239,0.183,0.062,0.175,-0.017,-0.076,0.039
Estoy interesado/a en investigar sobre la IA en el ámbito educativo.,0.534,-0.183,0.426,0.007,0.31,-0.043,-0.09,0.165
Creo que la IA puede ayudar a identificar las necesidades individuales de los estudiantes.,0.645,0.193,0.206,0.171,-0.058,-0.108,0.011,0.066
La IA puede contribuir a crear entornos de aprendizaje más interactivos.,0.509,0.218,0.414,0.058,-0.005,-0.031,-0.247,0.189
Me preocupa la privacidad y seguridad de los datos al usar IA en educación.,0.148,0.012,0.223,0.061,0.773,-0.068,0.01,0.056
La IA puede aumentar las brechas educativas entre diferentes grupos sociales.,0.014,0.03,0.305,-0.171,0.375,0.372,-0.2,0.304
Es fundamental abordar las implicaciones éticas al implementar la IA en el aula.,0.213,0.04,0.748,0.064,0.144,0.0,-0.032,0.338
La dependencia excesiva de la IA podría afectar negativamente las habilidades docentes.,-0.09,0.091,0.634,0.058,0.17,0.172,0.4,-0.16
Se requieren políticas claras sobre el uso de la IA en el ámbito educativo.,0.198,0.049,0.819,0.104,0.092,0.075,-0.022,-0.04
La IA debe ser utilizada respetando los valores y la cultura de los estudiantes.,0.151,0.033,0.835,0.02,0.1,-0.052,0.105,-0.037
Es importante garantizar la transparencia en cómo la IA toma decisiones educativas.,0.169,0.155,0.783,-0.022,0.038,-0.021,-0.037,0.149
Me preocupa que la IA pueda generar sesgos o discriminación inadvertida.,-0.07,0.186,0.36,0.14,0.553,-0.023,-0.026,-0.088
La falta de recursos tecnológicos limita el uso de la IA en la educación.,0.219,-0.086,0.588,0.09,0.108,0.328,0.147,0.028
Existe apoyo institucional para integrar la IA en nuestra formación docente.,0.062,0.246,0.12,0.661,-0.121,0.054,0.277,0.263
Las dificultades técnicas hacen complicado el uso de la IA en el aula.,0.21,0.038,0.347,0.364,0.133,0.525,-0.152,0.007
Hay resistencia al cambio entre los docentes respecto a la adopción de la IA.,0.369,0.159,0.112,-0.074,0.453,0.354,0.117,-0.189
La capacitación adecuada facilita la integración de la IA en la enseñanza.,0.385,0.049,0.7,-0.009,0.07,0.045,-0.006,0.073
El acceso a Internet y dispositivos es suficiente para utilizar herramientas de IA.,0.127,0.128,0.24,0.052,0.06,-0.132,0.707,0.154
La carga académica actual impide dedicar tiempo a aprender sobre IA.,0.06,0.022,0.079,0.174,0.722,0.075,0.067,-0.032
Las políticas educativas actuales favorecen la incorporación de la IA.,0.176,0.119,0.22,0.242,0.027,0.032,0.448,0.526
He experimentado el uso de la IA en clases impartidas por mis profesores.,0.056,0.286,0.139,0.65,-0.015,0.24,0.288,-0.075
Los cursos de mi programa incluyen contenidos relacionados con la IA.,0.133,0.024,0.059,0.82,0.07,-0.028,-0.042,0.149
Se fomenta activamente el uso de la IA en nuestra formación docente.,0.155,0.035,0.006,0.767,0.2,-0.174,-0.072,-0.012
La IA ha mejorado mi aprendizaje y comprensión de las matemáticas.,0.536,0.161,0.124,0.388,-0.104,0.109,-0.119,0.04
Mis profesores están capacitados en el uso de la IA para la enseñanza.,0.27,0.084,0.146,0.351,0.05,-0.234,0.1,0.57
He tenido oportunidades de desarrollar proyectos que involucren la IA.,0.126,0.388,-0.135,0.667,0.021,0.011,0.044,0.033
La IA se utiliza para ofrecer retroalimentación personalizada en mi aprendizaje.,0.39,0.161,0.107,0.308,0.097,-0.353,0.206,0.117
Considero que debería incrementarse el uso de la IA en nuestro plan de estudios.,0.767,-0.026,0.203,-0.031,0.119,0.008,-0.028,0.008
